Date,AQI,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Source,year,month,day,day_of_week,day_of_year,hour,is_weekend,season
2015-01-01 00:00:00,472.0,313.22,607.98,69.16,36.39,110.59,33.85,15.2,9.25,41.68,Historical,2015,1,1,3,1,0,0,0
2015-01-02 00:00:00,454.0,186.18,269.55,62.09,32.87,88.14,31.83,9.54,6.65,29.97,Historical,2015,1,2,4,2,0,0,0
2015-01-03 00:00:00,143.0,87.18,131.9,25.73,30.31,47.95,69.55,10.61,2.65,19.71,Historical,2015,1,3,5,3,0,1,0
2015-01-04 00:00:00,319.0,151.84,241.84,25.01,36.91,48.62,130.36,11.54,4.63,25.36,Historical,2015,1,4,6,4,0,1,0
2015-01-05 00:00:00,325.0,146.6,219.13,14.01,34.92,38.25,122.88,9.2,3.33,23.2,Historical,2015,1,5,0,5,0,0,0
2015-01-06 00:00:00,318.0,149.58,252.1,17.21,37.84,42.46,134.97,9.44,3.66,26.83,Historical,2015,1,6,1,6,0,0,0
2015-01-07 00:00:00,353.0,217.87,376.51,26.99,40.15,52.41,134.82,9.78,5.82,28.96,Historical,2015,1,7,2,7,0,0,0
2015-01-08 00:00:00,383.0,229.9,360.95,23.34,43.16,51.21,138.13,11.01,3.31,30.51,Historical,2015,1,8,3,8,0,0,0
2015-01-09 00:00:00,375.0,201.66,397.43,19.18,38.56,45.6,140.6,11.09,3.48,32.94,Historical,2015,1,9,4,9,0,0,0
2015-01-10 00:00:00,376.0,221.02,361.74,24.79,46.39,55.19,134.06,9.7,5.91,34.12,Historical,2015,1,10,5,10,0,1,0
2015-01-11 00:00:00,379.0,205.41,393.2,28.46,47.29,57.88,131.1,10.98,5.54,50.37,Historical,2015,1,11,6,11,0,1,0
2015-01-12 00:00:00,375.0,212.41,345.63,24.77,44.71,54.66,148.51,9.3,5.17,40.08,Historical,2015,1,12,0,12,0,0,0
2015-01-13 00:00:00,366.0,197.61,301.04,34.28,45.88,62.95,145.48,11.52,5.95,39.54,Historical,2015,1,13,1,13,0,0,0
2015-01-14 00:00:00,353.0,164.39,227.38,20.78,41.17,48.09,166.7,10.32,4.85,42.05,Historical,2015,1,14,2,14,0,0,0
2015-01-15 00:00:00,340.0,166.19,283.93,47.91,56.7,79.73,124.64,10.81,6.94,43.25,Historical,2015,1,15,3,15,0,0,0
2015-01-16 00:00:00,356.0,174.98,309.99,42.33,49.41,70.6,136.4,11.46,4.69,34.7,Historical,2015,1,16,4,16,0,0,0
2015-01-17 00:00:00,360.0,196.46,356.2,42.18,53.04,80.18,125.49,8.87,5.13,25.77,Historical,2015,1,17,5,17,0,1,0
2015-01-18 00:00:00,370.0,201.51,359.75,45.51,53.77,75.83,120.45,8.99,5.43,23.22,Historical,2015,1,18,6,18,0,1,0
2015-01-19 00:00:00,362.0,183.35,305.13,27.32,39.88,55.67,148.49,9.02,4.21,25.34,Historical,2015,1,19,0,19,0,0,0
2015-01-20 00:00:00,340.0,165.63,257.04,16.47,34.23,37.68,146.31,8.03,4.11,22.69,Historical,2015,1,20,1,20,0,0,0
2015-01-21 00:00:00,338.0,159.54,235.27,12.27,22.56,33.02,63.23,9.01,7.05,18.56,Historical,2015,1,21,2,21,0,0,0
2015-01-22 00:00:00,332.0,143.68,183.89,14.75,21.82,34.88,39.65,10.58,8.64,6.94,Historical,2015,1,22,3,22,0,0,0
2015-01-23 00:00:00,254.0,128.73,136.07,11.99,17.35,29.46,39.98,8.74,6.77,10.91,Historical,2015,1,23,4,23,0,0,0
2015-01-24 00:00:00,324.0,164.98,200.02,10.38,15.77,25.49,38.77,9.39,8.89,9.35,Historical,2015,1,24,5,24,0,1,0
2015-01-25 00:00:00,333.0,148.59,203.81,11.82,20.83,28.29,45.62,11.44,5.96,16.65,Historical,2015,1,25,6,25,0,1,0
2015-01-26 00:00:00,292.0,129.34,137.86,12.46,25.66,29.48,60.96,10.19,6.78,18.18,Historical,2015,1,26,0,26,0,0,0
2015-01-27 00:00:00,318.0,154.2,217.2,14.41,30.39,34.63,40.96,10.36,6.42,17.11,Historical,2015,1,27,1,27,0,0,0
