Date,AQI,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Source,year,month,day,day_of_week,day_of_year,hour,is_weekend,season,zone,zone_lat,zone_lon,industrial_density,traffic_density,distance_from_center,temperature,humidity,wind_speed,pressure,precipitation,temp_humidity_index,wind_chill,pollution_accumulation,seasonal_pollution_factor,traffic_weather_interaction,industrial_weather_interaction,rain_effect
2015-01-01,472.0,313.22,607.98,69.16,36.39,110.59,33.85,15.2,9.25,41.68,Historical,2015,1,1,3,1,0,0,0,North,28.7041,77.1025,0.5,0.6,15.491675541722095,8.001384824319414,63.26939652196188,2.8038425607606143,998.1632312053971,1.0672185981272087,39.636083085300356,2.3936997027981857,9.656183948552668,1.5,0.15773523494096042,0.131446029117467,1
2015-01-02,454.0,186.18,269.55,62.09,32.87,88.14,31.83,9.54,6.65,29.97,Historical,2015,1,2,4,2,0,0,0,South,28.5355,77.391,0.2,0.5,21.99664905752723,9.990434671926277,50.836974529299546,1.6130934323181036,1017.6289213809143,0.11236482320466493,35.40892193657605,6.76424780729007,18.81410930916749,1.5,0.19134409578169753,0.07653763831267903,0
2015-01-03,143.0,87.18,131.9,25.73,30.31,47.95,69.55,10.61,2.65,19.71,Historical,2015,1,3,5,3,0,1,0,East,28.6692,77.4538,0.7,0.7,27.857490675399784,17.66340838698985,73.81073647673027,5.081862512833904,1013.1809016644809,1.3381198124154847,54.568776625354985,7.499683361322042,4.306125544272882,1.5,0.1150963209909571,0.1150963209909571,1
2015-01-04,319.0,151.84,241.84,25.01,36.91,48.62,130.36,11.54,4.63,25.36,Historical,2015,1,4,6,4,0,1,0,West,28.6692,77.1025,0.6,0.6,13.320157249071446,13.166609512312267,43.686926011811494,3.196816713832451,1010.8343307535379,0.1224011953105689,35.01007251821801,6.772976084647365,13.418044634302008,1.5,0.14296550002349082,0.14296550002349082,0
2015-01-05,325.0,146.6,219.13,14.01,34.92,38.25,122.88,9.2,3.33,23.2,Historical,2015,1,5,0,5,0,0,0,Central,28.6139,77.209,0.3,0.8,0.0,10.962139302898251,47.26756776399995,1.969014510480887,1005.4766807555823,0.9851633698761885,34.595923184898226,7.024110281936477,17.76092102273325,1.5,0.26944967671122133,0.10104362876670799,0
2015-01-06,318.0,149.58,252.1,17.21,37.84,42.46,134.97,9.44,3.66,26.83,Historical,2015,1,6,1,6,0,0,0,North,28.7041,77.1025,0.5,0.6,15.491675541722095,20.89566297673394,68.80160071608518,2.7904120217326676,1010.5661159047463,0.013850245775615996,55.29646333477653,15.314838933268607,8.230872819375836,1.5,0.1582941370383605,0.13191178086530042,0
2015-01-07,353.0,217.87,376.51,26.99,40.15,52.41,134.82,9.78,5.82,28.96,Historical,2015,1,7,2,7,0,0,0,South,28.5355,77.391,0.2,0.5,21.99664905752723,12.756412627213374,74.70684902623111,0.6994721801979094,1006.4795840546028,0.6174805579848005,50.10983714032893,11.357468266817556,14.882944992264253,1.5,0.29420899372520076,0.11768359749008032,0
2015-01-08,383.0,229.9,360.95,23.34,43.16,51.21,138.13,11.01,3.31,30.51,Historical,2015,1,8,3,8,0,0,0,East,28.6692,77.4538,0.7,0.7,27.857490675399784,14.94106468912158,70.6244684532004,2.185536575227329,1000.397539721269,0.7215616746551083,50.25329891572178,10.569991538666923,9.221533281156342,1.5,0.21974319976220835,0.21974319976220835,0
2015-01-09,375.0,201.66,397.43,19.18,38.56,45.6,140.6,11.09,3.48,32.94,Historical,2015,1,9,4,9,0,0,0,West,28.6692,77.1025,0.6,0.6,13.320157249071446,18.850645254002995,53.59756428563231,3.201161523401856,1015.2668965938386,0.8402605370046153,45.64942739681915,12.448322207199283,11.045144409680706,1.5,0.142817646181372,0.142817646181372,0
2015-01-10,376.0,221.02,361.74,24.79,46.39,55.19,134.06,9.7,5.91,34.12,Historical,2015,1,10,5,10,0,1,0,Central,28.6139,77.209,0.3,0.8,0.0,10.48008109810117,36.78263905364142,2.053067225092604,1011.2621091682317,0.3756292294531347,28.87140062492188,6.373946647915962,20.706180468869665,1.5,0.26203157055466897,0.09826183895800085,0
2015-01-11,379.0,205.41,393.2,28.46,47.29,57.88,131.1,10.98,5.54,50.37,Historical,2015,1,11,6,11,0,1,0,North,28.7041,77.1025,0.5,0.6,15.491675541722095,13.309687074269732,78.1956528002529,2.2274326702295033,1016.1682958604051,0.16595168242227662,52.40751347439618,8.854821733810725,6.7559417740530545,1.5,0.18590627948168284,0.15492189956806904,0
2015-01-12,375.0,212.41,345.63,24.77,44.71,54.66,148.51,9.3,5.17,40.08,Historical,2015,1,12,0,12,0,0,0,South,28.5355,77.391,0.2,0.5,21.99664905752723,15.046133441467129,58.79327005173864,3.1770323605785373,1004.774168915366,0.25672357912818666,44.44276846733645,8.692068720310054,9.86507318860083,1.5,0.11970220885019617,0.047880883540078474,0
2015-01-13,366.0,197.61,301.04,34.28,45.88,62.95,145.48,11.52,5.95,39.54,Historical,2015,1,13,1,13,0,0,0,East,28.6692,77.4538,0.7,0.7,27.857490675399784,10.11404831674521,64.5262449913584,1.9225378051770003,1005.5702573248288,0.243372554570871,42.37717081242441,6.268972706391209,12.137996964762333,1.5,0.23951785970399284,0.23951785970399284,0
2015-01-14,353.0,164.39,227.38,20.78,41.17,48.09,166.7,10.32,4.85,42.05,Historical,2015,1,14,2,14,0,0,0,West,28.6692,77.1025,0.6,0.6,13.320157249071446,15.558341251007924,64.45213761566498,3.414552304903504,1018.1228907064058,0.2576443005566538,47.784410058840415,8.729236641200917,8.052427500938183,1.5,0.13591412187676302,0.13591412187676302,0
2015-01-15,340.0,166.19,283.93,47.91,56.7,79.73,124.64,10.81,6.94,43.25,Historical,2015,1,15,3,15,0,0,0,Central,28.6139,77.209,0.3,0.8,0.0,15.899915022442206,64.64716749982156,2.7158459870151743,1010.5766011337604,1.5465783882060156,48.22349877235299,10.468223048411858,9.514073678972979,1.5,0.21529417602224565,0.0807353160083421,1
2015-01-16,356.0,174.98,309.99,42.33,49.41,70.6,136.4,11.46,4.69,34.7,Historical,2015,1,16,4,16,0,0,0,North,28.7041,77.1025,0.5,0.6,15.491675541722095,10.152728591585777,63.96142973857937,3.7480777261873275,1015.230798753154,0.2121438663632418,42.13344346087546,2.6565731392111225,7.5901390709455265,1.5,0.12636692880800746,0.10530577400667289,0
2015-01-17,360.0,196.46,356.2,42.18,53.04,80.18,125.49,8.87,5.13,25.77,Historical,2015,1,17,5,17,0,1,0,South,28.5355,77.391,0.2,0.5,21.99664905752723,14.903355527711973,56.3620763424092,3.8920555953209,1010.3752806764028,0.25250948126655776,43.08439369891657,7.119244337070173,8.920161025833215,1.5,0.10220652448803617,0.04088260979521448,0
2015-01-18,370.0,201.51,359.75,45.51,53.77,75.83,120.45,8.99,5.43,23.22,Historical,2015,1,18,6,18,0,1,0,East,28.6692,77.4538,0.7,0.7,27.857490675399784,15.360283833311101,72.48733815668169,3.214336778221659,1012.3490045763687,0.06487230496801626,51.603952911651945,8.931610276867783,6.528349130875094,1.5,0.16609968230763508,0.16609968230763508,0
2015-01-19,362.0,183.35,305.13,27.32,39.88,55.67,148.49,9.02,4.21,25.34,Historical,2015,1,19,0,19,0,0,0,West,28.6692,77.1025,0.6,0.6,13.320157249071446,15.198622480921694,53.18079560536171,0.952440241371119,1013.1788241973011,0.3906663480806046,41.78902028360255,13.293741998179456,23.979839896026256,1.5,0.3073077409932119,0.3073077409932119,0
2015-01-20,340.0,165.63,257.04,16.47,34.23,37.68,146.31,8.03,4.11,22.69,Historical,2015,1,20,1,20,0,0,0,Central,28.6139,77.209,0.3,0.8,0.0,12.612829305440782,48.64497345605847,0.9622817273523465,1014.1737681781561,0.10812966451552895,36.935316033470016,10.688265850736089,26.171077184331462,1.5,0.40768865594005116,0.15288324597751918,0
2015-01-21,338.0,159.54,235.27,12.27,22.56,33.02,63.23,9.01,7.05,18.56,Historical,2015,1,21,2,21,0,0,0,North,28.7041,77.1025,0.5,0.6,15.491675541722095,15.949680465476492,54.524238824211864,1.7305523297942478,1007.0693318360745,0.0970653049559237,43.21179987758242,12.488575805887997,16.654418477749818,1.5,0.21973576314694218,0.18311313595578516,0
2015-01-22,332.0,143.68,183.89,14.75,21.82,34.88,39.65,10.58,8.64,6.94,Historical,2015,1,22,3,22,0,0,0,South,28.5355,77.391,0.2,0.5,21.99664905752723,14.60465506077773,65.85339566551183,2.6970829595179993,1004.6865847347703,0.03385850949792202,47.531352893533644,9.210489141741732,9.236093619857526,1.5,0.1352417582929182,0.05409670331716729,0
2015-01-23,254.0,128.73,136.07,11.99,17.35,29.46,39.98,8.74,6.77,10.91,Historical,2015,1,23,4,23,0,0,0,East,28.6692,77.4538,0.7,0.7,27.857490675399784,17.597020745726038,47.457365449466714,2.177115533862998,1005.2537452085122,0.24295348159459726,41.325703470459395,13.242789678000042,16.537841948305744,1.5,0.22032563579734932,0.22032563579734932,0
2015-01-24,324.0,164.98,200.02,10.38,15.77,25.49,38.77,9.39,8.89,9.35,Historical,2015,1,24,5,24,0,1,0,West,28.6692,77.1025,0.6,0.6,13.320157249071446,18.686161920543984,56.72804611026212,2.732298495667869,1006.6910650472478,0.27101968305950686,47.050184975675045,13.221564929208245,11.593915636695254,1.5,0.16075884624352216,0.16075884624352216,0
2015-01-25,333.0,148.59,203.81,11.82,20.83,28.29,45.62,11.44,5.96,16.65,Historical,2015,1,25,6,25,0,1,0,Central,28.6139,77.209,0.3,0.8,0.0,20.00564781064405,43.36606058364417,2.6305803037406896,1018.3188369295282,0.7816188110862466,41.688678102466135,14.74448720316267,15.599142472624631,1.5,0.22035044898352404,0.08263141836882151,0
2015-01-26,292.0,129.34,137.86,12.46,25.66,29.48,60.96,10.19,6.78,18.18,Historical,2015,1,26,0,26,0,0,0,North,28.7041,77.1025,0.5,0.6,15.491675541722095,8.905911181756796,80.60278726136806,3.0646322732342925,1002.3217811797138,0.014587379048355765,49.207304812440825,2.776646635288211,4.7721937520309226,1.5,0.1476148295015555,0.1230123579179629,0
